# Time, Raw Flux, Corr Flux, PCA Flux, PSF Flux
2.188557563954005218e+03,1.009919606726546792e+00,1.002021567267211033e+00,1.001925300304020494e+00,1.001271054496595925e+00
2.188564508271663726e+03,1.011437439978348563e+00,9.997221805793675697e-01,9.999853236131530654e-01,1.000627898823784445e+00
2.188571452588990724e+03,1.011733278731731245e+00,1.001874164881112472e+00,1.002089626461903027e+00,1.001258342165254556e+00
2.188578396905993486e+03,1.011389431665703720e+00,1.000171724045982202e+00,1.000403361823805293e+00,1.000708607356060043e+00
2.188585341222679290e+03,1.010825638894804923e+00,1.002451266081016312e+00,1.002490042189274844e+00,1.000083759026235253e+00
2.188592285539054046e+03,1.011113383867995763e+00,1.000538740483005506e+00,1.000631486334131237e+00,1.001035891867349648e+00
2.188599229855128215e+03,1.010090296789633912e+00,1.000118787884169302e+00,1.000230096880654784e+00,1.000222561910508956e+00
2.188606174170909981e+03,1.011527746608023470e+00,1.001550021102123100e+00,1.001580456815014841e+00,1.001368881315110704e+00
2.188613118486406620e+03,1.009342786295750027e+00,1.000373581731460515e+00,1.000429489185011400e+00,9.997680594502420526e-01
2.188620062801629501e+03,1.009780598823593945e+00,1.001269038897071084e+00,1.001364235312428574e+00,1.000496580816537140e+00
2.188627007116587720e+03,1.010845208103076986e+00,1.002156059566147617e+00,1.002235594120357121e+00,9.999001691749294096e-01
2.188633951431290370e+03,1.011614532997683558e+00,1.002896490821845843e+00,1.002940195815001712e+00,1.001907588261288229e+00
2.188640895745749276e+03,1.009512284466548726e+00,9.999912619283803927e-01,1.000091493453733271e+00,1.001129692168756247e+00
2.188647840059974897e+03,1.010276287423494956e+00,1.001259839066850343e+00,1.001318977682029043e+00,1.001088631227400771e+00
2.188654784373978600e+03,1.010192300594791703e+00,1.001791381262716385e+00,1.001897351672186298e+00,1.001266315742332491e+00
2.188661728687771756e+03,1.009387801018460928e+00,1.000165290344747548e+00,1.000183532484699267e+00,1.000918160694293846e+00
2.188668673001364368e+03,1.011789574853545259e+00,1.004029915240731707e+00,1.003889778975146196e+00,1.001250329541398365e+00
2.188675617314769624e+03,1.008223959776351597e+00,1.000651932055147908e+00,1.000615715392094929e+00,1.000052490784472559e+00
2.188682561627999803e+03,1.010130682535317348e+00,1.001971859747119442e+00,1.001992419677476764e+00,1.000671230109101861e+00
2.188689505941067637e+03,1.009382395925524589e+00,1.000908535675821387e+00,1.000866058752881260e+00,1.000266412777646829e+00
2.188696450253983585e+03,1.008936545054339273e+00,1.001907228326184951e+00,1.001823376205205562e+00,1.000342784427989740e+00
2.188703394566761744e+03,1.010120398999525548e+00,1.002644728431089094e+00,1.002564062057244909e+00,1.001514826784561052e+00
2.188710338879414394e+03,1.008246522574557824e+00,1.001114175139777407e+00,1.001087948027082897e+00,1.000376782047266655e+00
2.188717283191953356e+03,1.010390210151537849e+00,1.002132748771529025e+00,1.002049409211209330e+00,1.000840446066352918e+00
2.188724227504392729e+03,1.008421536711994193e+00,1.001219967699816138e+00,1.001112970318785322e+00,1.000959821227923374e+00
2.188731171816745245e+03,1.009838225429823044e+00,1.000235588963531264e+00,1.000374716532252739e+00,1.000671942127518088e+00
2.188738116129022728e+03,1.007453138086778166e+00,9.993713147372259575e-01,9.993896539539421919e-01,9.986928861428475690e-01
2.188745060441238820e+03,1.002520949204724454e+00,9.942900368080386242e-01,9.944022996508349310e-01,9.946816499396894384e-01
2.188752004753405799e+03,9.982341284192705055e-01,9.909332048233009393e-01,9.909074997650179073e-01,9.904297499619532097e-01
2.188758949065539127e+03,9.934455209803463305e-01,9.846168169860674002e-01,9.846831329451926074e-01,9.852467622347889087e-01
2.188765893377647444e+03,9.874714796459930222e-01,9.795337477202304965e-01,9.795614432993448029e-01,9.786689756273453389e-01
2.188772837689744847e+03,9.806254998065184747e-01,9.717539576426331704e-01,9.718734149861565363e-01,9.717077346153086825e-01
2.188779782001845433e+03,9.722897100432350559e-01,9.650525298389187601e-01,9.650369688564078841e-01,9.653853573347234152e-01
2.188786726313959662e+03,9.657593044759671397e-01,9.575017902805803560e-01,9.576028404455783072e-01,9.576477150571411912e-01
2.188793670626099811e+03,9.580113393583303827e-01,9.502637339535502381e-01,9.502979070239232495e-01,9.507376816295778355e-01
2.188800614938278159e+03,9.517160137561555544e-01,9.441192317787834298e-01,9.442028361793063373e-01,9.443728175628287591e-01
2.188807559250506984e+03,9.446790539662633934e-01,9.373540696568072317e-01,9.373623185190494977e-01,9.367691231355379511e-01
2.188814503562798109e+03,9.383400995626434149e-01,9.303867618232408709e-01,9.305587535753755413e-01,9.302054993367432356e-01
2.188821447875160175e+03,9.341796747966240044e-01,9.254538326929031555e-01,9.255190601653389137e-01,9.259757636232751610e-01
2.188828392187606823e+03,9.291434863827899848e-01,9.201056660300759305e-01,9.203426723212825289e-01,9.216421831041401447e-01
2.188835336500146695e+03,9.255884320256413389e-01,9.172361687256894713e-01,9.173326475174736760e-01,9.178143329591098576e-01
2.188842280812791614e+03,9.221496564626874282e-01,9.140259709133553567e-01,9.140504518367020825e-01,9.145199784420940947e-01
2.188849225125549310e+03,9.218374915567943972e-01,9.135120579644946393e-01,9.135030804699213469e-01,9.132460276139934274e-01
2.188856169438432516e+03,9.201430642173131780e-01,9.133496921113323230e-01,9.134415922961142131e-01,9.133984680002044110e-01
2.188863113751448509e+03,9.230378379650429066e-01,9.159452040886533197e-01,9.159209263707674964e-01,9.152415612785812504e-01
2.188870058064605018e+03,9.242484124722325500e-01,9.162443211306990909e-01,9.163158114521477993e-01,9.172404831525021729e-01
2.188877002377912959e+03,9.286824180961069652e-01,9.207438294605582163e-01,9.207286344792489086e-01,9.209526338155796799e-01
2.188883946691377787e+03,9.317098245089671105e-01,9.235896976783177781e-01,9.237109691355118724e-01,9.247862404538510495e-01
2.188890891005009053e+03,9.373224175772181255e-01,9.301238261687820863e-01,9.301234585030744295e-01,9.310065084044032435e-01
2.188897835318811758e+03,9.450286664647563617e-01,9.367346820057362855e-01,9.369114147113404290e-01,9.376346978009336697e-01
2.188904779632793634e+03,9.510498014037193082e-01,9.433936778943938783e-01,9.434567232737079978e-01,9.435333448476154183e-01
2.188911723946961047e+03,9.572601145954542368e-01,9.497617886341429561e-01,9.498886510427159147e-01,9.503501439452115562e-01
2.188918668261318089e+03,9.644783806053290887e-01,9.576237960635525237e-01,9.574969540285174219e-01,9.571457895144506178e-01
2.188925612575870673e+03,9.720356429568014489e-01,9.654019853056478029e-01,9.653480876731148630e-01,9.651002705529349024e-01
2.188932556890623800e+03,9.782762246689800101e-01,9.719089506577578419e-01,9.719191116996139801e-01,9.715617833166489969e-01
2.188939501205580200e+03,9.865024989338454509e-01,9.781485891282482026e-01,9.782158161273984964e-01,9.788724295358812721e-01
2.188946445520743509e+03,9.923705172913704908e-01,9.845574932965542869e-01,9.846537311742438181e-01,9.848590740718582426e-01
2.188953389836115548e+03,9.958625399493536978e-01,9.888064494036302721e-01,9.888714294237593849e-01,9.896071569233273468e-01
2.188960334151702227e+03,1.001347157047927316e+00,9.930510590564687323e-01,9.931972775888379124e-01,9.941681611782869910e-01
2.188967278467501728e+03,1.004621007980259328e+00,9.976991429484977081e-01,9.976442781827042916e-01,9.983127634421424812e-01
2.188974222783516325e+03,1.005173214449376795e+00,9.996102476482129351e-01,9.995833492961537781e-01,1.000037447730022011e+00
2.188981167099747381e+03,1.007251597416315647e+00,1.000127420318482230e+00,1.000251783003111239e+00,1.000703597136822109e+00
2.188988111416194442e+03,1.007894803475740897e+00,1.001794969012032688e+00,1.001773007697167817e+00,1.000445960073683027e+00
2.188995055732856144e+03,1.006763614538652263e+00,1.000215688656936219e+00,1.000254023947295456e+00,1.001163077878211016e+00
2.189002000049731578e+03,1.007592478610834563e+00,1.000820196880534585e+00,1.000894800880185675e+00,1.000738586125852425e+00
2.189008944366820742e+03,1.007001854404231178e+00,1.000444536055589140e+00,1.000351869463332877e+00,1.000684415637997260e+00
2.189015888684120000e+03,1.007408899479975917e+00,1.000857216281178630e+00,1.000890370565246990e+00,1.000836952909696764e+00
2.189022833001627532e+03,1.007140307938677593e+00,1.000768378862415986e+00,1.000709601853200681e+00,1.001200056188412235e+00
2.189029777319337882e+03,1.005206337967627706e+00,1.000090231610576419e+00,1.000015714084335094e+00,1.000492510067269247e+00
2.189036721637251503e+03,1.006879671585444447e+00,1.000623487000256384e+00,1.000630976079078582e+00,1.001387474159703084e+00
2.189043665955359756e+03,1.006636830461263177e+00,9.994052091516455461e-01,9.995087340807045084e-01,9.999455822247100834e-01
2.189050610273659004e+03,1.006899434822693840e+00,9.999462962621188389e-01,9.998915545910108671e-01,1.001053210317881303e+00
2.189057554592145607e+03,1.006848294327988391e+00,1.000766535968021786e+00,1.000613465073478592e+00,1.000804297814816834e+00
2.189064498910811835e+03,1.006944504982255184e+00,1.000312265530199696e+00,1.000320227057312383e+00,9.999971620612819745e-01
2.189071443229650868e+03,1.006470797093628855e+00,1.001148242742937899e+00,1.000989831563658283e+00,1.000830799719263586e+00
2.189078387548656337e+03,1.006409456218407605e+00,1.000289741645920660e+00,1.000238540101630047e+00,1.001341776645911175e+00
2.189085331867823243e+03,1.006227567911493370e+00,1.001683633569594889e+00,1.001606692473863802e+00,1.001175242142237742e+00
2.189092276187140669e+03,1.008009945814497765e+00,1.000794553685382837e+00,1.000790100229587143e+00,1.002191255126520630e+00
2.189099220506601796e+03,1.006919114904667012e+00,1.001670663492283841e+00,1.001590656357816966e+00,1.001597975531982820e+00
2.189106164826197073e+03,1.006947997503844894e+00,9.995107909546891989e-01,9.996218866193653518e-01,1.000852152205488510e+00
2.189113109145918770e+03,1.005669124796680247e+00,9.993670084678719645e-01,9.993799843811341788e-01,1.000785745101464341e+00
2.189120053465755973e+03,1.005083850246162536e+00,9.992501181801050070e-01,9.992799532188531009e-01,1.000879935779135588e+00
2.189126997785698677e+03,1.007431545433458142e+00,1.001360068280736648e+00,1.001341259361234082e+00,1.001305643241442667e+00
2.189133942105737788e+03,1.005502343031562162e+00,9.998453807951552808e-01,9.998709675888880488e-01,1.000835605689811336e+00
2.189140886425863755e+03,1.006563792410559266e+00,9.993173315507311028e-01,9.993373607012774329e-01,1.001571425653182468e+00
2.189147830746063391e+03,1.005383680452790474e+00,9.989197885773586361e-01,9.989561815327226979e-01,1.000768382194928918e+00
2.189154775066326692e+03,1.005777753305488131e+00,9.998778563792596330e-01,9.999095020862521777e-01,1.000543037155873893e+00
2.189161719386643654e+03,1.005002358075737678e+00,9.990378301587292675e-01,9.990439130021298020e-01,1.000428038481153470e+00
2.189168663707000178e+03,1.005554065613199377e+00,1.000516774660391794e+00,1.000434603036744807e+00,1.000993133804189750e+00
